gene_symbol
ACTA2
ACTB
ACTG2
ACTR3B
ADAMTS8
ADH1B
ADIPOQ
AGR3
ALDH1A3
ANKRD17
ANKRD30A
ANKRD30B
ANLN
ANPEP
APOC1
AQP1
AQP3
AR
ARHGDIB
ASPH
ATP5MG
AURKA
BAG1
BANK1
BCL2
BIRC3
BIRC5
BLVRA
BMP2K
BRK1
C15orf48
C1R
CAPN13
CCDC80
CCL5
CCNB1
CCNE1
CCR7
CCSER2
CD163
CD24
CD27
CD3E
CD68
CD74
CD83
CD8A
CDC20
CDC6
CDH3
CDK5RAP3
CEACAM6
CENPF
CEP55
CGA
CHI3L1
CHIT1
CIRBP
CLDN4
CLEC14A
CMSS1
CNN1
CNOT2
COL17A1
COL4A1
COLEC12
CPA3
CSAD
CTLA4
CTSV
CXCL10
CXCL12
CXCL14
CXCR4
CXXC5
CYP4Z1
CYTIP
DKC1
DNAJC3
DSP
DST
EEF1G
EEF2
EGFR
EIF5A
ENO1
EPCAM
ERBB2
EREG
ESR1
EXO1
FADS2
FASN
FBLN1
FGFR4
FHL2
FLT1
FMO4
FOXA1
FOXC1
G6PD
GALNT5
GAPDH
GASK1B
GATA3
GLYATL2
GPR160
GPR183
GRB14
GRB7
GSTM1
GUSB
H3F3B
HDGF
HECTD2
HEYL
HINT1
HLA-G
HMGA1
HMGB2
HMOX1
HNRNPA2B1
HNRNPL
HOXC8
HSPA6
HSPD1
HSPG2
IGFBP3
IGFBP5
IL1R1
IL2RG
IL7R
IRAK1
ISG15
ITGAX
ITGB1
KIF2C
KIT
KRT14
KRT15
KRT17
KRT19
KRT23
KRT5
KRT6B
LAMA2
LAMA3
LAMA4
LAMB1
LAMB3
LAMC2
LDHA
LDHB
LENG8
LEPR
LIFR
LOXL1
LPL
LTF
LUC7L3
LYPD3
LYVE1
LYZ
MALAT1
MAPT
MDM2
MELK
MIA
MIF
MKI67
MLPH
MMP11
MMP12
MMP14
MMP2
MMP9
MS4A1
MT1E
MTCO1P40
MTHFD2
MUC6
MYBL2
MYC
MYH11
MYLK
MYO5B
NAT1
NDC80
NDRG1
NDUFA4L2
NEO1
NPY1R
NUF2
OLFML2A
OPRPN
ORC6
OXTR
PCBP1
PDAP1
PDGFD
PDGFRB
PDZK1IP1
PECAM1
PGK1
PGR
PHGDH
PIGR
PIP
PKM
PLVAP
POLR2A
POLR2J3
PPIB
PRR11
PSD3
PTGES
PTN
PTTG1
PUM1
RARRES1
REEP5
RER1
RGS5
RPLP0
RRM2
S100A14
S100A8
S100A9
S100P
SARAF
SCGB2A1
SCGB2A2
SCUBE2
SDC1
SEMA3C
SERHL2
SERPINA3
SERPINB5
SET
SFRP1
SFRP4
SLC2A1
SLC39A6
SLC40A1
STC1
SYMPK
TACSTD2
TAGLN
TENT5C
TFAP2A
TFF3
TFPI2
TFRC
TGFB2
TIGIT
TIMP1
TLN1
TLN2
TMA7
TMEM45B
TNFRSF13C
TOMM7
TOP2A
TP63
TPD52
TRAC
TRAF4
TUBA1B
TYMS
UBE2C
UBE2T
VCL
VEGFA
VTCN1
VWF
WFDC2
YWHAE
YWHAQ
YWHAZ
YY1AP1
